Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
2000-1-16-0-0,2000,16,0,0,5.29,4.15,-2.66,-1.93,-1.77,-2.77,385.4,3.2,88964,0.95,1.07,0,-11,15,10,-11
2000-1-16-0-1,2000,16,0,1,5.24,3.93,-3.11,-1.52,-2.34,-2.55,385.4,3.2,88964,0.95,0.98,0,-12,15,8,-12
2000-1-16-0-4,2000,16,0,4,5.3,4.3,-2.38,-1.93,-1.51,-2.66,385.3,3.05,96440,0.91,1.02,1,-12,14,9,-12
2000-1-16-0-5,2000,16,0,5,5.28,4.32,-2.0,-2.25,-1.04,-2.82,385.3,3.05,96440,0.91,1.09,1,-12,14,8,-12
2000-1-16-0-7,2000,16,0,7,5.28,4.58,-1.49,-2.14,-0.61,-2.54,378.6,3.07,84698,0.88,0.96,1,-11,14,9,-11
2000-1-16-0-8,2000,16,0,8,5.21,4.52,-1.53,-2.09,-0.67,-2.5,378.6,3.07,84698,0.88,0.95,1,-11,14,10,-11
2000-1-16-0-11,2000,16,0,11,5.22,4.6,-1.54,-1.92,-0.74,-2.35,378.3,2.88,80212,0.82,0.89,1,-12,14,10,-12
2000-1-16-0-12,2000,16,0,12,5.23,4.52,-1.51,-2.15,-0.63,-2.55,379.2,2.92,80667,0.84,0.97,1,-12,14,10,-12
2000-1-16-0-13,2000,16,0,13,5.21,4.52,-1.57,-2.05,-0.72,-2.48,382.6,3.07,82453,0.9,0.95,1,-12,14,10,-12
2000-1-16-0-16,2000,16,0,16,5.16,4.46,-1.75,-1.9,-0.94,-2.4,385.1,3.41,105129,1.01,0.92,1,-11,14,9,-11
2000-1-16-0-17,2000,16,0,17,5.18,4.39,-1.82,-2.0,-0.97,-2.52,385.1,3.41,105129,1.01,0.97,1,-11,13,10,-11
2000-1-16-0-19,2000,16,0,19,5.2,4.51,-1.8,-1.76,-1.04,-2.29,382.7,3.05,88761,0.89,0.88,1,-11,12,10,-11
2000-1-16-0-20,2000,16,0,20,5.19,4.62,-1.8,-1.51,-1.13,-2.06,383.3,3.12,90532,0.92,0.79,1,-11,12,10,-11
